"id","transfer_account_id/id","default_cash_difference_expense_account_id/id","default_cash_difference_income_account_id/id","account_journal_suspense_account_id/id","account_journal_early_pay_discount_gain_account_id/id","account_journal_early_pay_discount_loss_account_id/id","currency_exchange_journal_id/id","income_currency_exchange_account_id/id","expense_currency_exchange_account_id/id","account_default_pos_receivable_account_id/id","tax_cash_basis_journal_id/id","account_cash_basis_base_account_id/id","account_tax_periodicity_journal_id/id","deferred_journal_id/id"
"marin_data.company_lmmg","marin_data.account_102_01_111_company_lmmg","marin_data.account_703_21_002_company_lmmg","marin_data.account_704_23_002_company_lmmg","marin_data.account_102_01_000_company_lmmg","marin_data.account_704_22_001_company_lmmg","marin_data.account_703_21_003_company_lmmg","marin_data.journal_exch1_company_lmmg","marin_data.account_702_01_001_company_lmmg","marin_data.account_701_01_001_company_lmmg","marin_data.account_105_01_002_company_lmmg","marin_data.journal_cbmx1_company_lmmg","marin_data.account_899_01_099_company_lmmg","marin_data.journal_caba1_company_lmmg","marin_data.journal_misc_ff_company_lmmg"
"marin_data.company_lmmr","marin_data.account_102_01_111_lmmr","marin_data.account_703_21_002_lmmr","marin_data.account_704_23_002_lmmr","marin_data.account_102_01_000_lmmr","marin_data.account_704_22_001_lmmr","marin_data.account_703_21_003_lmmr","marin_data.journal_exch1_lmmr","marin_data.account_702_01_001_lmmr","marin_data.account_701_01_001_lmmr","marin_data.account_105_01_002_lmmr","marin_data.journal_cbmx1_lmmr","marin_data.account_899_01_099_lmmr","marin_data.journal_caba1_lmmr","marin_data.journal_misc_ff_lmmr"
"marin_data.company_tjgl","marin_data.account_102_01_111_tjgl","marin_data.account_703_21_002_tjgl","marin_data.account_704_23_002_tjgl","marin_data.account_102_01_002_tjgl","marin_data.account_704_22_001_tjgl","marin_data.account_703_21_003_tjgl","marin_data.journal_exch1_tjgl","marin_data.account_702_01_001_tjgl","marin_data.account_701_01_001_tjgl","marin_data.account_105_01_002_tjgl","marin_data.journal_cbmx1_tjgl","marin_data.account_899_01_099_tjgl","marin_data.journal_caba1_tjgl","marin_data.journal_misc_ff_tjgl"
"marin_data.company_glmm","marin_data.account_102_01_111_glmm","marin_data.account_703_21_002_glmm","marin_data.account_704_23_002_glmm","marin_data.account_102_01_000_glmm","marin_data.account_704_22_001_glmm","marin_data.account_703_21_003_glmm","marin_data.journal_employees_ff_glmm","marin_data.account_702_01_001_glmm","marin_data.account_701_01_001_glmm","marin_data.account_105_01_002_glmm","marin_data.journal_customers_nf_glmm","marin_data.account_899_01_099_glmm","marin_data.journal_cbmx1_glmm","marin_data.journal_exch1_glmm"
