"id","name","invoice_label","type_tax_use","amount_type","amount","include_base_amount","is_base_affected","analytic","tax_exigibility","l10n_mx_tax_type","l10n_mx_factor_type","cash_basis_transition_account_id/id","tax_group_id/id","country_id/id","sequence","active","repartition_line_ids/repartition_type","repartition_line_ids/factor_percent","repartition_line_ids/account_id/id","repartition_line_ids/tag_ids/id"
"","","","","","","","","","","","","","","","","","Base","100.0","",""
"","","","","","","","","","","","","","","","","","of tax","100.0","marin.account_208_02_001_lmmr",""
"marin.account_tax_1014","IEPS 9%","IEPS9%","Purchases","Percentage of Price","9.0","","","True","Based on Payment","IEPS","Tasa","marin.account_119_03_001_lmmr","marin.tax_group_ieps_pesticides_lmmr_1008","base.mx","43","True","Base","100.0","",""
"","","","","","","","","","","","","","","","","","of tax","100.0","marin.account_118_03_001_lmmr",""
"","","","","","","","","","","","","","","","","","Base","100.0","",""
"","","","","","","","","","","","","","","","","","of tax","100.0","marin.account_118_03_001_lmmr",""
"marin.account_tax_1015","IEPS 9%","","Sales","Percentage of Price","9.0","","","True","Based on Payment","IEPS","Tasa","marin.account_209_02_001_lmmr","marin.tax_group_ieps_pesticides_lmmr_1008","base.mx","44","True","Base","100.0","",""
"","","","","","","","","","","","","","","","","","of tax","100.0","marin.account_208_02_001_lmmr",""
"","","","","","","","","","","","","","","","","","Base","100.0","",""
"","","","","","","","","","","","","","","","","","of tax","100.0","marin.account_208_02_001_lmmr",""
"marin.account_tax_1016","IEPS exempt","IEPS exempt","Purchases","Percentage of Price","0.0","","","True","Based on Payment","IEPS","Exento","marin.account_119_03_001_lmmr","marin.tax_group_ieps_pesticides_lmmr_1008","base.mx","27","True","Base","100.0","",""
"","","","","","","","","","","","","","","","","","of tax","100.0","marin.account_118_03_001_lmmr",""
"","","","","","","","","","","","","","","","","","Base","100.0","",""
"","","","","","","","","","","","","","","","","","of tax","100.0","marin.account_118_03_001_lmmr",""
"marin.account_tax_1017","ISH 2% - 601","ISH2%","Purchases","Percentage of Price","2.0","","","True","Based on Invoice","IVA","Tasa","","marin.tax_group_ish_lmmr_1009","base.mx","55","True","Base","100.0","",""
"","","","","","","","","","","","","","","","","","of tax","100.0","marin.account_601_49_001_lmmr",""
"","","","","","","","","","","","","","","","","","Base","100.0","",""
"","","","","","","","","","","","","","","","","","of tax","100.0","marin.account_601_49_001_lmmr",""
"marin.account_tax_1018","ISH 2% - 602","ISH2%","Purchases","Percentage of Price","2.0","","","True","Based on Invoice","IVA","Tasa","","marin.tax_group_ish_lmmr_1009","base.mx","56","True","Base","100.0","",""
"","","","","","","","","","","","","","","","","","of tax","100.0","marin.account_602_49_001_lmmr",""
"","","","","","","","","","","","","","","","","","Base","100.0","",""
"","","","","","","","","","","","","","","","","","of tax","100.0","marin.account_602_49_001_lmmr",""
"marin.account_tax_1019","ISH 3% - 601","ISH3%","Purchases","Percentage of Price","3.0","","","True","Based on Invoice","IVA","Tasa","","marin.tax_group_ish_lmmr_1009","base.mx","57","True","Base","100.0","",""
"","","","","","","","","","","","","","","","","","of tax","100.0","marin.account_601_49_001_lmmr",""
"","","","","","","","","","","","","","","","","","Base","100.0","",""
"","","","","","","","","","","","","","","","","","of tax","100.0","marin.account_601_49_001_lmmr",""
"marin.account_tax_1020","ISH 3% - 602","ISH3%","Purchases","Percentage of Price","3.0","","","True","Based on Invoice","IVA","Tasa","","marin.tax_group_ish_lmmr_1009","base.mx","58","True","Base","100.0","",""
"","","","","","","","","","","","","","","","","","of tax","100.0","marin.account_602_49_001_lmmr",""
"","","","","","","","","","","","","","","","","","Base","100.0","",""
"","","","","","","","","","","","","","","","","","of tax","100.0","marin.account_602_49_001_lmmr",""
"marin.account_tax_1021","ISH 3.5% - 601","ISH3.5%","Purchases","Percentage of Price","3.5","","","True","Based on Invoice","IVA","Tasa","","marin.tax_group_ish_lmmr_1009","base.mx","59","True","Base","100.0","",""
"","","","","","","","","","","","","","","","","","of tax","100.0","marin.account_601_49_001_lmmr",""
"","","","","","","","","","","","","","","","","","Base","100.0","",""
"","","","","","","","","","","","","","","","","","of tax","100.0","marin.account_601_49_001_lmmr",""
"marin.account_tax_1022","ISH 3.5% - 602","ISH3.5%","Purchases","Percentage of Price","3.5","","","True","Based on Invoice","IVA","Tasa","","marin.tax_group_ish_lmmr_1009","base.mx","60","True","Base","100.0","",""
"","","","","","","","","","","","","","","","","","of tax","100.0","marin.account_602_49_001_lmmr",""
