"id","name","type","code","sequence","color","active","show_on_dashboard","refund_sequence","x_treatment","currency_id/id","default_account_id/id","default_payable_account_id/id","default_receivable_account_id/id","default_refund_account_id/id","loss_account_id/id","profit_account_id/id","suspense_account_id/id"
"marin.journal_ant1_lmmg","Vendors advances FF","Cash","ANT1","16","10","True","","","Fiscal real","","marin.account_120_01_001_lmmg","","","","marin.account_703_21_002_lmmg","marin.account_704_23_002_lmmg","marin.account_102_01_000_lmmg"
"marin.journal_ant2_lmmg","Vendors advances NF","Cash","ANT2","17","10","True","","","Not Fiscal real","","marin.account_120_01_002_lmmg","","","","marin.account_703_21_002_lmmg","marin.account_704_23_002_lmmg","marin.account_102_01_000_lmmg"
"marin.journal_efc01_lmmg","Cash Main","Cash","EFC01","18","10","True","True","","Not Fiscal real","","marin.account_101_01_001_lmmg","","","","marin.account_703_21_002_lmmg","marin.account_704_23_002_lmmg","marin.account_102_01_000_lmmg"
"marin.journal_efc02_lmmg","Cash USD","Cash","EFC02","42","10","True","","","Not Fiscal real","","marin.account_101_01_003_lmmg","","","","marin.account_703_21_002_lmmg","marin.account_704_23_002_lmmg","marin.account_102_01_000_lmmg"
"marin.journal_eft_lmmg","Payments done by thirth party in name of the company FF","Cash","EFT","19","10","True","","","Fiscal real","","marin.account_202_03_001_lmmg","","","","marin.account_703_21_002_lmmg","marin.account_704_23_002_lmmg","marin.account_102_01_000_lmmg"
"marin.journal_bnc01_lmmg","Bank BBVA 0110152269","Bank","BNC01","13","10","True","","","Not Fiscal real","","marin.account_102_01_002_lmmg","","","","marin.account_703_21_002_lmmg","marin.account_704_23_002_lmmg","marin.account_102_01_000_lmmg"
"marin.journal_bnc02_lmmg","Bank BBVA Payroll","Bank","BNC02","14","10","True","","","Not Fiscal real","","marin.account_102_01_010_lmmg","","","","marin.account_703_21_002_lmmg","marin.account_704_23_002_lmmg","marin.account_102_01_000_lmmg"
"marin.journal_bnc03_lmmg","Bank BBVA 0478986592","Bank","BNC03","10","10","True","True","","Fiscal real","","marin.account_102_01_001_lmmg","","","","marin.account_703_21_002_lmmg","marin.account_704_23_002_lmmg","marin.account_102_01_000_lmmg"
"marin.journal_bnc04_lmmg","Bank BBVA CC 5435","Bank","BNC04","15","10","True","","","Not Fiscal real","","marin.account_202_03_002_lmmg","","","","marin.account_703_21_002_lmmg","marin.account_704_23_002_lmmg","marin.account_102_01_000_lmmg"
"marin.journal_bnc05_lmmg","Bank Efectivale - Expenses","Bank","BNC05","12","10","True","","","Not Fiscal real","","marin.account_102_01_003_lmmg","","","","marin.account_703_21_002_lmmg","marin.account_704_23_002_lmmg","marin.account_102_01_000_lmmg"
"marin.journal_bnc06_lmmg","Bank Banbajio 0038383038","Bank","BNC06","11","10","True","True","","Not Fiscal real","","marin.account_102_01_004_lmmg","","","","marin.account_703_21_002_lmmg","marin.account_704_23_002_lmmg","marin.account_102_01_000_lmmg"
"marin.journal_pex_lmmg","Foreign Suppliers FF","Purchase","PEX","32","6","True","","True","Fiscal real","","marin.account_501_01_001_lmmg","marin.account_201_02_001_lmmg","","","","",""
"marin.journal_pf_lmmg","Suppliers FF","Purchase","PF","24","6","True","True","True","Fiscal real","","marin.account_501_01_001_lmmg","marin.account_201_01_001_lmmg","","marin.account_501_01_001_lmmg","","",""
"marin.journal_pfx_lmmg","Suppliers FX","Purchase","PFX","26","6","True","","True","Fiscal simulated","","marin.account_501_01_003_lmmg","marin.account_201_01_001_lmmg","","","","",""
"marin.journal_pn_lmmg","Suppliers NF","Purchase","PN","28","6","True","True","True","Not Fiscal real","","marin.account_501_01_002_lmmg","marin.account_201_01_002_lmmg","","","","",""
"marin.journal_pnx_lmmg","Suppliers NFX","Purchase","PNX","30","6","True","","","Not Fiscal simulated","","marin.account_501_01_002_lmmg","marin.account_201_01_002_lmmg","","","","",""
"marin.journal_cf_lmmg","Customers FF","Sales","CF","36","11","True","True","True","Fiscal real","","marin.account_401_04_001_lmmg","marin.account_105_01_001_lmmg","marin.account_105_01_001_lmmg","","","",""
"marin.journal_cfx_lmmg","Customers FX","Sales","CFX","39","11","True","","True","Fiscal simulated","","marin.account_401_04_003_lmmg","marin.account_105_01_001_lmmg","marin.account_105_01_001_lmmg","","","",""
"marin.journal_cn_lmmg","Customers NF","Sales","CN","41","11","True","True","True","Not Fiscal real","","marin.account_401_04_002_lmmg","marin.account_105_01_002_lmmg","","","","",""
"marin.journal_cnx_lmmg","Customers NFX","Sales","CNX","10","0","True","True","True","Not Fiscal real","","marin.account_401_04_002_lmmg","","","","","",""
"marin.journal_caba1_lmmg","Tax declarations FF","Miscellaneous","CABA1","52","0","True","","","Fiscal real","","","","","","","",""
"marin.journal_cbmx1_lmmg","Effectively paid FF","Miscellaneous","CBMX1","46","0","True","","","Not Fiscal real","","","","","","","",""
"marin.journal_eqc1_lmmg","Computing equipment FF","Miscellaneous","EQC1","70","0","True","","","Fiscal real","","","","","","","",""
"marin.journal_eqt1_lmmg","Automobiles, trucks, forklifts and trailers FF","Miscellaneous","EQT1","66","0","True","","","Fiscal real","","","","","","","",""
"marin.journal_eqt2_lmmg","Automobiles, trucks, forklifts and trailers NF","Miscellaneous","EQT2","68","0","True","","","Not Fiscal real","","","","","","","",""
"marin.journal_eqtl1_lmmg","Communications equipment FF","Miscellaneous","EQTL1","72","0","True","","","Fiscal real","","","","","","","",""
"marin.journal_exch1_lmmg","Exchange difference FF","Miscellaneous","EXCH1","49","0","True","","","Fiscal real","","","","","","","",""
"marin.journal_inc1_lmmg","Uncollectible debts FF","Miscellaneous","INC1","55","0","True","","","Fiscal real","","","","","","","",""
