"id","transfer_account_id/id","default_cash_difference_expense_account_id/id","default_cash_difference_income_account_id/id","account_journal_suspense_account_id/id","account_journal_early_pay_discount_gain_account_id/id","account_journal_early_pay_discount_loss_account_id/id","currency_exchange_journal_id/id","income_currency_exchange_account_id/id","expense_currency_exchange_account_id/id","account_default_pos_receivable_account_id/id","tax_cash_basis_journal_id/id","account_cash_basis_base_account_id/id","account_tax_periodicity_journal_id/id","deferred_journal_id/id"
"base.main_company","xiuman_data.account_102_01_111_main_company","xiuman_data.account_703_21_002_main_company","xiuman_data.account_704_23_002_main_company","xiuman_data.account_102_01_000_main_company","xiuman_data.account_704_22_001_main_company","xiuman_data.account_703_21_003_main_company","xiuman_data.journal_exch1_main_company","xiuman_data.account_702_01_001_main_company","xiuman_data.account_701_01_001_main_company","xiuman_data.account_105_01_002_main_company","xiuman_data.journal_cbmx1_main_company","xiuman_data.account_899_01_099_main_company","xiuman_data.journal_caba1_main_company","xiuman_data.journal_misc_ff_main_company"
"xiuman_data.company_lmmr","xiuman_data.account_102_01_111_lmmr","xiuman_data.account_703_21_002_lmmr","xiuman_data.account_704_23_002_lmmr","xiuman_data.account_102_01_000_lmmr","xiuman_data.account_704_22_001_lmmr","xiuman_data.account_703_21_003_lmmr","xiuman_data.journal_exch1_lmmr","xiuman_data.account_702_01_001_lmmr","xiuman_data.account_701_01_001_lmmr","xiuman_data.account_105_01_002_lmmr","xiuman_data.journal_cbmx1_lmmr","xiuman_data.account_899_01_099_lmmr","xiuman_data.journal_caba1_lmmr","xiuman_data.journal_misc_ff_lmmr"
"xiuman_data.company_tjgl","xiuman_data.account_102_01_111_tjgl","xiuman_data.account_703_21_002_tjgl","xiuman_data.account_704_23_002_tjgl","xiuman_data.account_102_01_002_tjgl","xiuman_data.account_704_22_001_tjgl","xiuman_data.account_703_21_003_tjgl","xiuman_data.journal_exch1_tjgl","xiuman_data.account_702_01_001_tjgl","xiuman_data.account_701_01_001_tjgl","xiuman_data.account_105_01_002_tjgl","xiuman_data.journal_cbmx1_tjgl","xiuman_data.account_899_01_099_tjgl","xiuman_data.journal_caba1_tjgl","xiuman_data.journal_misc_ff_tjgl"
"xiuman_data.company_glmm","xiuman_data.account_102_01_111_glmm","xiuman_data.account_703_21_002_glmm","xiuman_data.account_704_23_002_glmm","xiuman_data.account_102_01_000_glmm","xiuman_data.account_704_22_001_glmm","xiuman_data.account_703_21_003_glmm","xiuman_data.journal_employees_ff_glmm","xiuman_data.account_702_01_001_glmm","xiuman_data.account_701_01_001_glmm","xiuman_data.account_105_01_002_glmm","xiuman_data.journal_customers_nf_glmm","xiuman_data.account_899_01_099_glmm","xiuman_data.journal_cbmx1_glmm","xiuman_data.journal_exch1_glmm"
